event_id,timestamp_utc,country,region,city,site_code,latitude,longitude,agent_id,agent_rank,agent_clearance,team_id,operation_id,operation_codename,operation_type,target_sector,target_importance_score,target_risk_level,intel_source_primary,intel_source_secondary,intel_confidence_score,threat_score_overall,threat_financial,threat_cyber,threat_physical,money_moved_usd,records_exfiltrated,compromised_accounts,channel_email,channel_phone,channel_darknet,channel_field_meet,status,triage_priority,requires_manual_review,escalated_to_level,false_positive_flag,model_version,notes_short,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60
EVT-0000001,2024-03-26 14:39:19,DE,EU-CENTRAL,Berlin,DE-559,52.73424,14.51895,AG-1106,FIELD,TOP_SECRET,T-028,OP-2024-000001,SPECTRUM-285,CYBER_INTRUSION,Healthcare,9,CRITICAL,OSINT,SIGINT,71,56,51,62,52,297891,3071,125,Y,Y,Y,N,CONFIRMED,P1,Y,3,N,aurora-1.0,possible duplicate event,67.07,45.0,43.7,54.36,49.96,42.52,48.71,58.04,59.95,60.59,36.79,33.4,33.6,26.99,27.85,26.83,40.16,24.87,20.97,26.23,31.58,34.13,27.12,37.41,37.47,31.71,37.13,37.32,27.69,47.72,100,100,100,100,100,100,100,100,100,100,31.72,26.1,50.99,72.58,18.65,2.6,60.65,11.08,27.71,31.1,19.57,15.17,52.19,27.23,26.78,0,48.33,19.43,16.58,53.67
EVT-0000002,2024-12-17 15:07:34,US,US-EAST,New York,US-132,41.57592,-75.55091,AG-4899,SENIOR,TOP_SECRET,T-032,OP-2024-000002,NIGHTFALL-553,CYBER_INTRUSION,Logistics,8,LOW,HUMINT,CYBINT,72,40,50,26,47,210339,2245,65,Y,Y,Y,N,IN_REVIEW,P3,N,0,N,aurora-2.0,anomaly detected,48.19,48.16,37.48,28.16,46.0,35.43,51.57,44.91,44.74,48.29,19.25,15.94,21.24,17.36,24.21,12.93,21.32,28.29,17.04,13.39,15.25,22.72,24.15,20.68,23.93,24.08,22.12,21.97,23.23,18.57,99.34,100,100,100,100,100,100,100,100,95.12,39.62,16.94,25.04,36.52,23.69,69.7,0,0,18.24,11.96,5.29,35.76,38.89,0,15.68,17.83,0,29.26,70.43,41.2
EVT-0000003,2024-09-21 21:19:20,SK,EU-CENTRAL,Bratislava,SK-355,48.54924,16.58094,AG-7658,HQ,TOP_SECRET,T-010,OP-2024-000003,NIGHTFALL-886,CYBER_INTRUSION,Government,1,CRITICAL,FININT,SIGINT,76,85,100,85,72,438398,3680,176,Y,N,N,N,IN_REVIEW,P1,Y,1,N,aurora-1.1,source reliability downgraded,77.02,92.84,77.48,98.08,86.89,86.22,80.45,66.71,99.48,89.81,47.48,48.64,35.14,44.87,41.12,36.89,45.44,51.08,49.44,50.96,38.2,39.17,29.66,33.8,41.82,33.25,31.64,44.37,36.47,43.66,85.81,79.6,81.82,83.71,80.64,100,82.52,93.37,86.75,83.92,26.55,15.1,80.05,60.07,32.9,72.73,13.94,44.01,20.85,52.19,71.48,25.46,26.14,79.68,19.56,16.28,51.83,41.92,32.1,21.07
EVT-0000004,2024-04-15 12:34:06,CN,ASIA-PAC,Beijing,CN-443,39.4715,116.55195,AG-3267,FIELD,CONFIDENTIAL,T-025,OP-2024-000004,DEEPBLUE-157,CYBER_INTRUSION,Energy,8,MEDIUM,FININT,CYBINT,44,65,58,82,49,293241,3507,138,N,N,Y,N,CONFIRMED,P2,Y,1,N,aurora-1.2,incomplete metadata,65.76,56.38,41.02,67.52,59.79,62.03,78.44,54.33,47.15,58.07,35.03,34.1,21.66,19.87,28.58,25.63,27.54,33.68,32.85,34.19,43.84,47.17,39.56,36.61,39.03,36.93,34.69,35.8,29.17,40.72,100,100,100,100,98.11,100,98.34,98.7,100,93.69,63.73,58.87,2.02,28.84,19.28,51.18,39.36,28.49,57.78,32.59,56.94,6.02,23.35,31.56,19.13,79.52,53.05,6.54,14.5,28.7
EVT-0000005,2024-11-03 22:40:12,RU,EU-EAST,Moscow,RU-117,54.77913,36.61505,AG-4986,SENIOR,TOP_SECRET,T-038,OP-2024-000005,SPECTRUM-485,RANSOMWARE,Defense,5,MEDIUM,FININT,OSINT,65,54,59,50,56,247350,2492,113,Y,N,Y,N,DISMISSED,P3,N,1,N,aurora-1.2,source reliability downgraded,56.45,69.87,69.1,49.35,69.29,67.16,40.55,51.69,63.07,68.85,25.82,26.13,22.28,22.41,25.05,25.34,23.91,22.86,27.06,21.19,32.36,24.26,31.31,28.3,19.06,32.39,31.29,27.72,29.61,29.87,74.44,83.62,78.13,88.31,80.48,87.92,77.03,87.8,67.1,73.74,39.1,41.99,33.57,2.85,0,30.17,44.45,50.81,31.05,12.4,23.31,57.68,10.81,39.86,6.23,14.88,19.07,91.01,32.95,28.17
EVT-0000006,2024-09-12 09:50:20,SK,EU-CENTRAL,Bratislava,SK-990,48.25082,16.79539,AG-4073,HQ,SECRET,T-040,OP-2024-000006,PHOENIX-641,ESPIONAGE,Finance,8,MEDIUM,HUMINT,FININT,37,60,61,62,55,288536,4170,129,Y,Y,Y,N,DISMISSED,P3,N,0,N,aurora-1.1,manual verification pending,65.87,78.59,55.33,70.61,58.57,58.93,61.2,49.78,48.34,78.77,28.39,27.3,26.05,21.99,37.57,34.8,28.4,32.98,19.26,29.04,40.6,39.69,42.92,48.86,40.11,40.23,33.89,37.12,33.76,41.0,100,93.16,96.34,100,93.88,99.22,100,100,88.2,88.15,38.77,0,27.05,48.19,12.26,8.56,52.21,18.22,0,48.71,47.37,53.26,7.61,38.09,14.61,74.74,50.87,45.26,41.15,18.62
EVT-0000007,2024-01-09 12:29:30,FR,EU-WEST,Paris,FR-949,49.23635,1.54033,AG-1803,HQ,TOP_SECRET,T-032,OP-2024-000007,SPECTRUM-795,CYBER_INTRUSION,Defense,7,LOW,HUMINT,OSINT,100,37,50,34,29,176906,1335,49,N,Y,N,N,CLOSED,P3,N,1,N,aurora-1.2,source reliability downgraded,19.93,32.08,45.06,41.32,38.98,53.12,46.18,53.74,30.31,36.91,27.21,13.2,27.39,12.39,21.51,25.11,13.22,12.43,20.38,20.25,19.46,18.23,9.67,8.32,5.18,19.4,7.67,15.08,11.34,13.74,95.87,100,100,91.17,92.68,75.41,80.34,80.28,100,100,37.83,20.96,7.7,28.2,20.77,11.65,47.95,18.92,62.88,6.09,0,0,53.74,0,72.73,22.76,10.02,12.36,40.37,15.85
EVT-0000008,2024-09-06 20:22:11,GB,EU-WEST,London,GB-131,50.45338,-0.20347,AG-7580,ANALYST,TOP_SECRET,T-007,OP-2024-000008,PHOENIX-730,ESPIONAGE,Energy,8,HIGH,SIGINT,FININT,81,72,78,73,63,364203,3009,162,N,Y,N,N,CONFIRMED,P2,N,3,N,aurora-1.1,pattern matches known cluster,81.97,63.94,81.18,83.4,79.54,81.6,63.2,64.07,65.32,63.08,32.13,39.96,34.23,36.77,39.14,31.59,37.7,34.69,31.91,27.93,35.27,31.4,32.25,29.96,31.17,35.24,32.76,35.32,26.9,24.9,100,100,100,100,100,100,100,100,100,100,50.73,32.59,30.38,29.66,51.33,42.49,40.17,29.99,61.1,17.38,47.91,37.02,85.66,3.13,45.18,31.04,58.14,62.18,17.42,49.27
EVT-0000009,2024-06-18 14:26:55,SK,EU-CENTRAL,Bratislava,SK-964,47.20267,16.87614,AG-7560,HQ,CONFIDENTIAL,T-026,OP-2024-000009,SPECTRUM-764,INSIDER_TRADING,Healthcare,7,MEDIUM,OSINT,HUMINT,57,52,55,50,53,254764,2096,107,Y,N,N,N,CLOSED,P3,N,0,N,aurora-1.0,incomplete metadata,42.87,68.24,72.29,47.52,56.63,57.11,48.05,47.76,54.89,44.76,20.63,25.1,24.69,27.55,18.92,22.95,27.98,26.6,32.47,25.17,18.21,14.96,19.52,17.44,27.27,20.85,23.75,8.84,24.6,22.87,95.31,89.95,91.12,81.1,100,100,92.48,100,92.99,99.34,0,50.45,15.67,17.33,8.91,33.98,0,36.25,48.71,24.84,67.38,49.94,100,42.2,4.28,9.96,13.85,11.5,16.99,57.11
EVT-0000010,2024-09-20 10:16:40,BR,LATAM,Sao Paulo,BR-684,-22.38784,-46.77125,AG-5616,ANALYST,TOP_SECRET,T-034,OP-2024-000010,PHOENIX-990,CYBER_INTRUSION,Healthcare,8,MEDIUM,CYBINT,HUMINT,44,54,56,48,61,244331,2165,111,Y,N,N,N,IN_REVIEW,P3,N,1,N,aurora-1.2,pattern matches known cluster,38.22,52.44,37.92,70.56,75.49,62.57,51.66,56.8,54.55,53.91,24.27,26.47,18.3,21.8,33.59,21.86,19.19,24.5,33.92,22.0,21.23,25.76,23.19,16.33,28.61,21.13,21.29,25.8,19.2,25.35,100,100,100,100,100,100,100,100,91.6,95.05,39.95,16.77,6.03,0,20.99,6.08,32.36,33.02,22.71,31.53,60.28,46.22,0,34.71,50.87,0,52.05,21.7,21.3,0
